symbol,base,status,kind,bars,first_bar,last_bar,ret_listing_to_end,dd_from_ath_high
ANKRUSDT,ANKR,TRADING,coin,2614,2019-07-23,2026-09-17,-0.4397515527950311,-0.9791798427639566
WINUSDT,WIN,TRADING,coin,2605,2019-08-01,2026-09-17,-0.9129090498758745,-0.987006734006734
COSUSDT,COS,BREAK,coin,2513,2019-08-03,2026-06-19,-0.9887241689128482,-0.9961384615384615
NPXSUSDT,NPXS,BREAK,coin,602,2019-08-13,2021-04-05,13.579220240564082,-0.22677328171229338
COCOSUSDT,COCOS,BREAK,coin,1375,2019-08-21,2023-05-29,777.7838437638704,-0.7300615384615385
MTLUSDT,MTL,TRADING,coin,2583,2019-08-23,2026-09-17,-0.32343635921148695,-0.973175603307699
TOMOUSDT,TOMO,BREAK,coin,1550,2019-08-24,2023-11-20,1.5638218923933205,-0.6474744897959184
PERLUSDT,PERL,BREAK,coin,1565,2019-08-26,2023-12-07,-0.9600347523892268,-0.984476241900648
DENTUSDT,DENT,BREAK,coin,2437,2019-08-27,2026-04-28,-0.9254755834477348,-0.9983259911894273
MFTUSDT,MFT,BREAK,coin,1226,2019-08-27,2023-01-03,3.4114189756507134,-0.8476659901420702
KEYUSDT,KEY,BREAK,coin,1906,2019-08-27,2024-12-10,-0.23504273504273498,-0.9639424460431655
STORMUSDT,STORM,BREAK,coin,287,2019-08-27,2020-06-08,0.9888758782201403,-0.19119047619047613
DOCKUSDT,DOCK,BREAK,coin,1792,2019-08-27,2024-07-22,-0.5290992513885535,-0.9785714285714285
WANUSDT,WAN,BREAK,coin,2432,2019-08-27,2026-04-23,-0.8672371638141809,-0.979392789373814
FUNUSDT,FUN,BREAK,coin,2432,2019-08-27,2026-04-23,-0.8870541611624835,-0.9950185711164519
CVCUSDT,CVC,TRADING,coin,2426,2019-08-27,2026-09-17,-0.42947048611111116,-0.9731734693877551
CHZUSDT,CHZ,TRADING,coin,2569,2019-09-06,2026-09-17,0.7270661404138259,-0.9847179595724416
BANDUSDT,BAND,TRADING,coin,2557,2019-09-18,2026-09-17,-0.7114209619301268,-0.9920959810509513
BUSDUSDT,BUSD,BREAK,stablecoin,1548,2019-09-20,2023-12-15,0.00029999999999996696,-0.9967320741871104
BEAMUSDT,BEAM,BREAK,coin,1224,2019-09-21,2023-01-26,-0.9512195121951219,-0.968952380952381
XTZUSDT,XTZ,TRADING,coin,2551,2019-09-24,2026-09-17,-0.710247760846807,-0.9728382946243594
RENUSDT,REN,BREAK,coin,1904,2019-09-25,2024-12-10,0.09927983539094654,-0.9767717391304348
RVNUSDT,RVN,TRADING,coin,2550,2019-09-25,2026-09-17,-0.9185741088180113,-0.9925920868466869
HCUSDT,HC,BREAK,coin,413,2019-09-25,2020-11-10,-0.47141512394101026,-0.7684207632244584
HBARUSDT,HBAR,TRADING,coin,2546,2019-09-29,2026-09-17,1.1212035995500562,-0.8690451388888889
NKNUSDT,NKN,BREAK,coin,2318,2019-10-11,2026-02-13,-0.7203065134099618,-0.9950973807924782
STXUSDT,STX,TRADING,coin,2520,2019-10-25,2026-09-17,-0.33404255319148934,-0.934900166389351
KAVAUSDT,KAVA,TRADING,coin,2520,2019-10-25,2026-09-17,-0.9488176846645614,-0.9927912779344761
ARPAUSDT,ARPA,TRADING,coin,2508,2019-11-06,2026-09-17,-0.6437499999999999,-0.9647956403269755
IOTXUSDT,IOTX,TRADING,coin,2500,2019-11-14,2026-09-17,-0.3781115879828326,-0.9889809885931559
RLCUSDT,RLC,TRADING,coin,2500,2019-11-14,2026-09-17,-0.6073877151252274,-0.9829939393939394
MCOUSDT,MCO,BREAK,coin,340,2019-11-19,2020-10-23,-0.3581286549707602,-0.999178627553693
CTXCUSDT,CTXC,BREAK,coin,1973,2019-11-22,2025-04-16,-0.5229495861550038,-0.9540612999058039
BCHUSDT,BCH,TRADING,coin,2486,2019-11-28,2026-09-17,0.07308771445655671,-0.8586060606060606
TROYUSDT,TROY,BREAK,coin,1960,2019-12-05,2025-04-16,-0.9927860488457678,-0.9982805023923444
VITEUSDT,VITE,BREAK,coin,1901,2019-12-13,2025-02-24,-0.9481302774427021,-0.9975358166189112
FTTUSDT,FTT,TRADING,coin,2154,2019-12-20,2026-09-17,-0.9039443155452436,-0.9975857242827152
EURUSDT,EUR,TRADING,stablecoin,2450,2020-01-03,2026-09-17,0.02930895401989808,-0.768
OGNUSDT,OGN,TRADING,coin,2444,2020-01-09,2026-09-17,-0.9194036697247706,-0.9948171091445428
