symbol,size_usd,spread_bps,buy_slip_bps,sell_slip_bps,roundtrip_bps,book_exhausted,ask_depth_usd_100lvl,bid_depth_usd_100lvl,median_adv_usd_30d,size_pct_of_adv
BANANAUSDT,500.0,5.223295899713303,12.268840121376634,11.09242273807598,23.361262859452616,False,75714.68229000003,44071.107741000014,188610.8895125,0.26509604047377283
BANANAUSDT,5000.0,5.223295899713303,30.420587948740696,28.693899348062324,59.11448729680302,False,75714.68229000003,44071.107741000014,188610.8895125,2.6509604047377286
BANANAUSDT,50000.0,5.223295899713303,205.19335414576955,239.17543588298784,444.3687900287574,True,75714.68229000003,44071.107741000014,188610.8895125,26.509604047377284
ANIMEUSDT,500.0,35.398230088495666,17.69911504424737,17.69911504424848,35.39823008849585,False,81325.73067300001,82574.33194599999,259413.57402250002,0.19274241985372476
ANIMEUSDT,5000.0,35.398230088495666,42.523714517563874,17.69911504424848,60.222829561812354,False,81325.73067300001,82574.33194599999,259413.57402250002,1.9274241985372476
ANIMEUSDT,50000.0,35.398230088495666,166.16548637328864,84.91338695363892,251.07887332692758,False,81325.73067300001,82574.33194599999,259413.57402250002,19.274241985372473
1000CATUSDT,500.0,10.010010010009168,5.005005005005447,9.857540455791014,14.862545460796461,False,26854.9821944,13147.78557629999,326886.95604019996,0.1529580764117461
1000CATUSDT,5000.0,10.010010010009168,20.818985291199965,27.856961153323034,48.675946444523,False,26854.9821944,13147.78557629999,326886.95604019996,1.5295807641174612
1000CATUSDT,50000.0,10.010010010009168,194.88594995183072,105.13610194158751,300.0220518934182,True,26854.9821944,13147.78557629999,326886.95604019996,15.29580764117461
ACTUSDT,500.0,10.37882719252682,13.12553881359646,8.925515060287381,22.05105387388384,False,54811.40515699999,46746.750601,333172.61878150003,0.15007235643452083
ACTUSDT,5000.0,10.37882719252682,28.75730836680468,28.660726415644653,57.41803478244933,False,54811.40515699999,46746.750601,333172.61878150003,1.5007235643452081
ACTUSDT,50000.0,10.37882719252682,333.10892701014393,501.61993613442536,834.7288631445692,True,54811.40515699999,46746.750601,333172.61878150003,15.007235643452082
TURBOUSDT,500.0,10.97092704333543,5.485463521670564,14.50172927850768,19.987192800178242,False,72515.86317200003,33591.267699,562493.6270895,0.08888989597751364
TURBOUSDT,5000.0,10.97092704333543,19.05454440953136,33.13191102334745,52.18645543287881,False,72515.86317200003,33591.267699,562493.6270895,0.8888989597751364
TURBOUSDT,50000.0,10.97092704333543,667.0128129319041,593.1048307555842,1260.1176436874885,True,72515.86317200003,33591.267699,562493.6270895,8.888989597751364
PEPEUSDT,500.0,27.510316368637977,13.755158184318717,13.755158184317606,27.510316368636325,False,4710087.683380678,4216960.427457749,28568041.319826294,0.0017502074937598147
PEPEUSDT,5000.0,27.510316368637977,13.755158184318717,13.755158184319827,27.51031636863854,False,4710087.683380678,4216960.427457749,28568041.319826294,0.017502074937598144
PEPEUSDT,50000.0,27.510316368637977,13.755158184318717,13.755158184318717,27.510316368637433,False,4710087.683380678,4216960.427457749,28568041.319826294,0.17502074937598144
DOGEUSDT,500.0,1.2242149721486346,0.6121074860732101,0.6121074860754305,1.2242149721486406,False,910475.68961,1176705.059389999,67711065.5311,0.0007384317409247498
DOGEUSDT,5000.0,1.2242149721486346,1.1628641532768214,0.6121074860754305,1.7749716393522519,False,910475.68961,1176705.059389999,67711065.5311,0.007384317409247499
DOGEUSDT,50000.0,1.2242149721486346,4.9571087801969504,4.512496179165382,9.469604959362332,False,910475.68961,1176705.059389999,67711065.5311,0.07384317409247498
BTCUSDT,500.0,0.0013070186042676783,0.0006535093022286276,0.0006535093033388506,0.0013070186055674782,False,1852960.1465847995,464667.6971870999,1193138063.0047197,4.1906298650873076e-05
BTCUSDT,5000.0,0.0013070186042676783,0.0006535093022286276,0.0006535093033388506,0.0013070186055674782,False,1852960.1465847995,464667.6971870999,1193138063.0047197,0.00041906298650873076
BTCUSDT,50000.0,0.0013070186042676783,0.0006535093022286276,0.6388107237553786,0.6394642330576072,False,1852960.1465847995,464667.6971870999,1193138063.0047197,0.004190629865087308
